;"A. leucophthalmus";"C. caudata";"P. leucoptera";"S. scansor";"X. fuscus"
"A. leucophthalmus";1;NA;NA;NA;NA
"C. caudata";0.0877238738430536;1;NA;NA;NA
"P. leucoptera";0.0886993245618298;0.152965041435973;0.999999999999999;NA;NA
"S. scansor";0.60561394797227;0.0879096607796875;0.088979687360047;1;NA
"X. fuscus";0.124926372028588;0.143126145113614;0.154922196652708;0.128303402918831;0.999999999999998
