;"A. leucophthalmus";"C. caudata";"P. leucoptera";"S. scansor";"X. fuscus"
"A. leucophthalmus";1;NA;NA;NA;NA
"C. caudata";0.115170735574356;1;NA;NA;NA
"P. leucoptera";0.101263635679073;0.17992559436345;0.999999999999999;NA;NA
"S. scansor";0.587666479304065;0.12013921298343;0.108826406405553;1;NA
"X. fuscus";0.171408237251208;0.146045795562782;0.13426445338852;0.170922504331951;1
